Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Allotropy  n. Existence of two or more different physical forms of a chemical element.  allotropic adj. [greek allos different, tropos manner]
Dismount  v. 1 a alight from a horse, bicycle, etc. B unseat. 2 remove (a thing) from its mounting.
Achy  adj. (-ier, -iest) full of or suffering from aches.
Archean  (brit. Archaean) -adj. Of the earliest geological era. -n. This time. [greek arkhaios ancient]
Abundant  adj. 1 plentiful. 2 (foll. By in) rich (abundant in fruit).  abundantly adv.
Fancy woman  n. Slang derog. Mistress.
Sprinkling  n. Small sparse number or amount.
Chaise longue  n. (pl. Chaise longues or chaises longues pronunc. Same) sofa with only one arm rest. [french, = long chair]
Remorseless  adj. Without compassion.  remorselessly adv.
Pantechnicon  n. Large furniture removal van. [from *technic: originally as the name of a bazaar]
En passant  adv. In passing; casually (mentioned it en passant). [french, = in passing]
Strudel  n. Thin leaved pastry rolled round a filling and baked. [german]
Cue2  billiards etc. -n. Long rod for striking a ball. -v. (cues, cued, cueing or cuing) strike (a ball) with or use a cue. [var. Of *queue]
Horsebox  n. Closed vehicle for transporting horse(s).
Spell2  n. 1 words used as a charm or incantation etc. 2 effect of these. 3 fascination exercised by a person, activity, etc. [old english]
Irritable  adj. 1 easily annoyed. 2 (of an organ etc.) Very sensitive to contact.  irritability n. Irritably adv. [latin: related to *irritate]
Reverse gear  n. Gear used to make a vehicle etc. Go backwards.
Brewery  n. (pl. -ies) factory for brewing beer etc.
Creamy  adj. (-ier, -iest) 1 like cream. 2 rich in cream.  creamily adv. Creaminess n.
Multiplex  adj. Manifold; of many elements. [latin: related to *multi-, -plex -plicis -fold]
Exceptionable  adj. Open to objection.
Squeamish  adj. 1 easily nauseated or disgusted. 2 fastidious.  squeamishly adv. Squeamishness n. [anglo-french escoymos]
Aftermath  n. 1 consequences, esp. Unpleasant (aftermath of war). 2 new grass growing after mowing. [from *after, math mowing]
Granivorous  adj. Feeding on grain. [latin: related to *grain]
Rectangle  n. Plane figure with four straight sides and four right angles, esp. Other than a square.  rectangular adj. [french or medieval latin]
Allied  adj. 1 (also allied) associated in an alliance. 2 connected or related.
Sanguinary  adj. 1 bloody. 2 bloodthirsty. [latin sanguis -guin- blood]
Demist  v. Clear mist from (a windscreen etc.).  demister n.
Eye-opener  n. Colloq. Enlightening experience; unexpected revelation.
Anatto  var. Of *annatto.
Rock-bottom  -adj. (of prices etc.) The very lowest. -n. Very lowest level.
Red rose  n. Emblem of lancashire or the lancastrians.
Disclaim  v. 1 deny or disown. 2 renounce legal claim to.
Damp course  n. (also damp-proof course) layer of waterproof material in a wall near the ground, to prevent rising damp.
Salve1  -n. 1 healing ointment. 2 (often foll. By for) thing that soothes or consoles. -v. (-ving) soothe. [old english]
Circum-  comb. Form round, about. [latin]
Evangelism  n. Preaching or spreading of the gospel.
Flood  -n. 1 a overflowing or influx of water, esp. Over land; inundation. B the water that overflows. 2 outpouring; torrent (flood of tears). 3 inflow of the tide (also in comb.: flood-tide).
Non-flammable  adj. Not inflammable.
Sewage farm  n. (also sewage works) place where sewage is treated.
Gelatinous  adj. Of a jelly-like consistency.
Nameless  adj. 1 having or showing no name. 2 unnamed (our informant, who shall be nameless). 3 too horrific to be named (nameless vices).
Marron glacé  n. (pl. Marrons glacés pronunc. Same) chestnut preserved in syrup. [french]
Capacitor  n. Device able to store electric charge.
Slave  -n. 1 person who is owned by and has to serve another. 2 drudge, hard worker. 3 (foll. By of, to) obsessive devotee (slave of fashion). 4 machine, or part of one, directly controlled by another. -v. (-ving) (often foll. By at, over) work very hard. [french esclave from latin sclavus *slav (captive)]
Stringent  adj. (of rules etc.) Strict, precise; leaving no loophole for discretion.  stringency n. Stringently adv. [latin: related to *strict]
De-escalate  v. Make or become less intense.  de-escalation n.
Stringer  n. 1 longitudinal structural member in a framework, esp. Of a ship or aircraft. 2 colloq. Freelance newspaper correspondent.
Retrospection  n. Looking back into the past.
Depository  n. (pl. -ies) 1 a storehouse. B store (of wisdom, knowledge, etc.). 2 = *depositary. [latin: related to *deposit]
Contestant  n. Person taking part in a contest.
Lifelike  adj. Closely resembling life or the person or thing represented.
Clinical  adj. 1 of or for the treatment of patients. 2 dispassionate, coolly detached. 3 (of a room, building, etc.) Bare, functional.  clinically adv. [greek: related to *clinic]
Doxology  n. (pl. -ies) liturgical hymn etc. Of praise to god.  doxological adj. [greek doxa glory]
Check-up  n. Thorough (esp. Medical) examination.
Lawful  adj. Conforming with or recognized by law; not illegal.  lawfully adv. Lawfulness n.
Splendor  n. (brit. Splendour) dazzling brightness; magnificence. [latin splendeo shine]
Royal marine  n. British marine (see *marine n. 1).
Blossom  -n. 1 flower or mass of flowers, esp. Of a fruit-tree. 2 promising stage (blossom of youth). -v. 1 open into flower. 2 mature, thrive. [old english]
Mistime  v. (-ming) say or do at the wrong time. [related to *mis-1]
Cover-point  n. Cricket 1 fielding position covering point. 2 fielder at this position.
Tear2  n. 1 drop of clear salty liquid secreted by glands from the eye, and shed esp. In grief. 2 tearlike thing; drop.  in tears crying. [old english]
Glandular  adj. Of a gland or glands.
Model  -n. 1 representation in three dimensions of an existing person or thing or of a proposed structure, esp. On a smaller scale (often attrib.: model train). 2 simplified description of a system etc., to assist calculations and predictions. 3 figure in clay, wax, etc., to be reproduced in another material. 4 particular design or style, esp. Of a car. 5 a exemplary person or thing. B (attrib.) Ideal, exemplary. 6 person employed to pose for an artist or photographer or to wear clothes etc. For display. 7 garment etc. By a well-known designer, or a copy of this. -v. (-ll-; us -l-) 1 a fashion or shape (a figure) in clay, wax, etc. B (foll. By after, on, etc.) Form (a thing in imitation of). 2 a  act or pose as a model. B (of a person acting as a model) display (a garment). [latin: related to *mode]
Sledgehammer  n. 1 large heavy long-handled hammer used to break stone etc. 2 (attrib.) Heavy or powerful (sledgehammer blow). [old english slecg: related to *slay]
Siamese  -n. (pl. Same) 1 native or language of siam (now thailand) in asia. 2 (in full siamese cat) cat of a cream-coloured short-haired breed with dark markings and blue eyes. -adj. Of siam, its people, or language.
Gentle  adj. (gentler, gentlest) 1 not rough or severe; mild, kind (a gentle nature). 2 moderate (gentle breeze). 3 (of birth, pursuits, etc.) Honourable, of or fit for gentlefolk. 4 quiet; requiring patience (gentle art).  gentleness n. Gently adv. [latin: related to *gentile]
Mean sea level  n. Level halfway between high and low water.
Iron cross  n. German military decoration.
Ambiguous  adj. 1 having an obscure or double meaning. 2 difficult to classify.  ambiguity n. (pl. -ies). [latin ambi- both ways, ago drive]
Gross  -adj. 1 overfed, bloated. 2 (of a person, manners, or morals) coarse, unrefined, or indecent. 3 flagrant (gross negligence). 4 total; not net (gross tonnage). 5 (of the senses etc.) Dull. -v. Produce as gross profit. -n. (pl. Same) amount equal to twelve dozen.  grossly adv. Grossness n. [latin grossus]
Proof  -n. 1 facts, evidence, reasoning, etc. Establishing or helping to establish a fact (no proof that he was there). 2 demonstration, proving (not capable of proof). 3 test, trial (put them to the proof). 4 standard of strength of distilled alcohol. 5 trial impression from type or film, for correcting before final printing. 6 step by step resolution of a mathematical or philosophical problem. 7 photographic print made for selection etc. -adj. 1 (often in comb.) Impervious to penetration, ill effects, etc., esp. By a specified agent (proof against corruption; childproof). 2 being of proof alcoholic strength. -v. 1 make proof, esp. Make (fabric) waterproof. 2 make a proof of (a printed work). [latin proba: related to *prove]
Pretension  n. 1 (often foll. By to) a assertion of a claim. B justifiable claim. 2 pretentiousness. [medieval latin: related to *pretend]
Prize-giving  n. Awarding of prizes, esp. Formally at a school etc.
Chief  -n. 1 a leader or ruler. B head of a tribe, clan, etc. 2 head of a department; highest official. -adj. 1 first in position, importance, influence, etc. 2 prominent, leading. [latin caput head]
Plaint  n. 1 law accusation; charge. 2 literary complaint, lamentation. [french plainte from latin plango lament]
Tennis elbow  n. Sprain caused by overuse of forearm muscles.
Gallon  n. 1 measure of capacity equal to eight pints (4.5 litres; for wine, or us, 3.8 litres). 2 (in pl.) Colloq. Large amount. [french]
Autocue  n. Propr. Screen etc. From which a speaker reads a television script.
Salmon pink  adj. & n. (as adj. Often hyphenated) orange-pink colour of salmon flesh.
Reputable  adj. Of good repute; respectable. [french or medieval latin: related to *repute]
Speech day  n. School celebration with speeches, prize-giving, etc.
Local train  n. Train stopping at all the stations on its route.
Social  -adj. 1 of society or its organization, esp. Of the relations of people or classes of people. 2 living in organized communities. 3 needing companionship; gregarious. -n. Social gathering, esp. Of a club.  socially adv. [latin: related to *sociable]
Nearby  -adj. Near in position. -adv. Close; not far away.
Handmaid  n. (also handmaiden) archaic female servant.
Present2  v. 1 introduce, offer, or exhibit for attention or consideration. 2 a (with a thing as object, foll. By to) offer or give as a gift (to a person). B (with a person as object, foll. By with) make available to; cause to have (that presents us with a problem). 3 a (of a company, producer, etc.) Put (a piece of entertainment) before the public. B (of a performer, compère, etc.) Introduce. 4 introduce (a person) formally (may i present my fiancé?).  5 a (of a circumstance) reveal (some quality etc.) (this presents some difficulty). B exhibit (an appearance etc.). 6 (of an idea etc.) Offer or suggest itself. 7 deliver (a cheque, bill, etc.) For acceptance or payment. 8 a (usu. Foll. By at) aim (a weapon). B hold out (a weapon) in position for aiming.  present arms hold a rifle etc. Vertically in front of the body as a salute.  presenter n. (in sense 3b). [latin praesento: related to *present1]
Des  abbr. Department of education and science.
Field mouse  n. Small long-tailed rodent.
Knee  -n. 1 a (often attrib.) Joint between the thigh and the lower leg in humans. B corresponding joint in other animals. C area around this. D lap (sat on his knee). 2 part of a garment covering the knee. -v. (knees, kneed, kneeing) 1 touch or strike with the knee (kneed him in the groin). 2 colloq. Make (trousers) bulge at the knee.  bring a person to his (or her) knees reduce a person to submission. [old english]
Ovulate  v. (-ting) produce ova or ovules, or discharge them from the ovary.  ovulation n. [related to *ovum]
Painless  adj. Not causing pain.  painlessly adv.
Hgv  abbr. Heavy goods vehicle.
Deep-rooted  adj. (also deep-seated) firmly established, profound.
Bulk  -n. 1 a size; magnitude (esp. Large). B large mass, body, etc. C large quantity. 2 (treated as pl. & usu. Prec. By the) greater part or number (the bulk of the applicants are women). 3 roughage. -v. 1 seem (in size or importance) (bulks large). 2 make (a book etc.) Thicker etc.  in bulk in large quantities. [old norse]
Hiv  abbr. Human immunodeficiency virus, either of two viruses causing aids.
Ragged  adj. 1 torn; frayed. 2 in ragged clothes. 3 with a broken or jagged outline or surface. 4 faulty, imperfect; lacking finish, smoothness, or uniformity. [old norse]
Evasion  n. 1 evading. 2 evasive answer. [latin: related to *evade]
Interregnum  n. (pl. -s) 1 interval when the normal government or leadership is suspended, esp. Between successive reigns or regimes. 2 interval, pause. [latin regnum reign]
Proem  n. Preface etc. To a book or speech. [latin from greek]
Humanly  adv. 1 by human means (if it is humanly possible). 2 in a human manner.
